VEHICLE_TYPE,VEHICLE_CATEGORY
pickup,OTHER
mack,OTHER
horse,OTHER
golf,OTHER
commercial,OTHER
comm,OTHER
cargo,OTHER
box,OTHER
bobca,OTHER
White,OTHER
VAN TRUCK,OTHER
UTILITY VE,OTHER
USPS MAIL,OTHER
US POSTAL,OTHER
TRANS,OTHER
TRACK,OTHER
TL,OTHER
STREET SWE,OTHER
SKATE,OTHER
REP,OTHER
Pick up,OTHER
POSTAL TRU,OTHER
PEDIC,OTHER
MAIL TRUCK,OTHER
ICE C,OTHER
Horse,OTHER
Grain,OTHER
GATOR,OTHER
FLATBED,OTHER
FDNY ENGIN,OTHER
FDNY Ambul,OTHER
ENGIN,OTHER
Delivery,OTHER
DUMPS,OTHER
Crane,OTHER
Commercial,OTHER
CAT,OTHER
Box t,OTHER
BOOM,OTHER
Ambu,OTHER
ARMOR,OTHER
work,OTHER
us po,OTHER
trac,OTHER
taxi,OTHER
subur,OTHER
other,OTHER
na,OTHER
front,OTHER
flatb,OTHER
UTILITY TR,OTHER
U-Hau,OTHER
Snowmobile,OTHER
Self,OTHER
Sanitation,OTHER
SWEEP,OTHER
SKATEBOARD,OTHER
SE,OTHER
Road,OTHER
RMP,OTHER
Pick up tr,OTHER
PICKUP TRU,OTHER
OIL T,OTHER
Motor Home,OTHER
MOVIN,OTHER
MOBIL,OTHER
MINIV,OTHER
LCOM,OTHER
G COM,OTHER
Ford,OTHER
FRONT,OTHER
FED E,OTHER
FDNY LADDE,OTHER
FDNY FIRET,OTHER
FDNY EMS,OTHER
Dump truck,OTHER
DUMPT,OTHER
COURI,OTHER
CASE,OTHER
Amb,OTHER
APPOR,OTHER
AMBULENCE,OTHER
yello,OTHER
van t,OTHER
uhaul,OTHER
trlr,OTHER
tractor tr,OTHER
suv,OTHER
sanitation,OTHER
rv,OTHER
postal tru,OTHER
omt,OTHER
left,OTHER
food,OTHER
excav,OTHER
e-bik,OTHER
dump truck,OTHER
dsny,OTHER
delivery t,OTHER
cater,OTHER
back,OTHER
acces,OTHER
Wagon,OTHER
WORK VAN,OTHER
Tractor tr,OTHER
Tow truck,OTHER
TRC,OTHER
TRAILOR,OTHER
TOWTR,OTHER
TOWER,OTHER
TLR,OTHER
TF,OTHER
School bus,OTHER
SW,OTHER
SUBURBAN,OTHER
SPRINTER V,OTHER
SKID,OTHER
SEMI TRAIL,OTHER
RMP V,OTHER
RENTA,OTHER
PICK-UP TR,OTHER
NOT I,OTHER
Mini,OTHER
LIFT,OTHER
Golf,OTHER
GLBEN,OTHER
GAS SCOOTE,OTHER
G TOW,OTHER
Freig,OTHER
Flatb,OTHER
Fire Engin,OTHER
FLEET,OTHER
FDNY truck,OTHER
FDNY Truck,OTHER
FDNY Fire,OTHER
FD TRUCK,OTHER
EXCAVATOR,OTHER
E SCO,OTHER
E Bik,OTHER
Dirt Bike,OTHER
Delv,OTHER
DIRTB,OTHER
CARGO VAN,OTHER
Backh,OTHER
